GO biological process complete,Caenorhabditis elegans - REFLIST (20452),upload_1 (1043),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
fatty acid biosynthetic process (GO:0006633),40,13,2.04,+,6.37,5.52E-04
monocarboxylic acid biosynthetic process (GO:0072330),47,13,2.4,+,5.42,3.25E-03
small molecule catabolic process (GO:0044282),110,22,5.61,+,3.92,2.56E-04
fatty acid metabolic process (GO:0006631),105,21,5.35,+,3.92,4.93E-04
organic acid biosynthetic process (GO:0016053),102,18,5.2,+,3.46,1.91E-02
carboxylic acid biosynthetic process (GO:0046394),102,18,5.2,+,3.46,1.91E-02
cellular carbohydrate metabolic process (GO:0044262),107,18,5.46,+,3.3,3.58E-02
coenzyme metabolic process (GO:0006732),123,20,6.27,+,3.19,2.02E-02
single-organism catabolic process (GO:0044712),285,46,14.53,+,3.16,5.27E-08
monocarboxylic acid metabolic process (GO:0032787),220,35,11.22,+,3.12,1.81E-05
proteolysis involved in cellular protein catabolic process (GO:0051603),254,40,12.95,+,3.09,2.10E-06
cellular protein catabolic process (GO:0044257),256,40,13.06,+,3.06,2.61E-06
small molecule biosynthetic process (GO:0044283),136,21,6.94,+,3.03,2.61E-02
ubiquitin-dependent protein catabolic process (GO:0006511),178,25,9.08,+,2.75,1.99E-02
modification-dependent protein catabolic process (GO:0019941),179,25,9.13,+,2.74,2.19E-02
lipid metabolic process (GO:0006629),405,56,20.65,+,2.71,1.26E-07
carbohydrate metabolic process (GO:0005975),350,48,17.85,+,2.69,3.87E-06
modification-dependent macromolecule catabolic process (GO:0043632),184,25,9.38,+,2.66,3.44E-02
organonitrogen compound catabolic process (GO:1901565),541,71,27.59,+,2.57,3.45E-09
carboxylic acid metabolic process (GO:0019752),404,53,20.6,+,2.57,2.49E-06
innate immune response (GO:0045087),307,40,15.66,+,2.55,3.24E-04
cellular catabolic process (GO:0044248),595,77,30.34,+,2.54,7.49E-10
immune response (GO:0006955),311,40,15.86,+,2.52,4.49E-04
defense response (GO:0006952),415,53,21.16,+,2.5,6.10E-06
single-organism carbohydrate metabolic process (GO:0044723),221,28,11.27,+,2.48,3.80E-02
immune system process (GO:0002376),318,40,16.22,+,2.47,7.83E-04
organic acid metabolic process (GO:0006082),427,53,21.78,+,2.43,1.56E-05
oxoacid metabolic process (GO:0043436),427,53,21.78,+,2.43,1.56E-05
organic substance catabolic process (GO:1901575),783,97,39.93,+,2.43,7.35E-12
cellular lipid metabolic process (GO:0044255),284,35,14.48,+,2.42,6.46E-03
protein catabolic process (GO:0030163),399,49,20.35,+,2.41,7.93E-05
catabolic process (GO:0009056),835,100,42.58,+,2.35,2.11E-11
cellular macromolecule catabolic process (GO:0044265),343,41,17.49,+,2.34,2.00E-03
proteolysis (GO:0006508),600,69,30.6,+,2.26,1.87E-06
oxidation-reduction process (GO:0055114),606,66,30.9,+,2.14,3.43E-05
single-organism metabolic process (GO:0044710),1667,175,85.01,+,2.06,2.71E-16
