




Analysis Type:	PANTHER Overrepresentation Test (release 20170413)
Annotation Version and Release Date:	GO Ontology database  Released 2017-04-24
Analyzed List:	upload_1 (Caenorhabditis elegans)
Reference List:	Caenorhabditis elegans (all genes in database)
Bonferroni correction:	true
Bonferroni count:	2255
GO biological process complete	Caenorhabditis elegans - REFLIST (20452)	upload_1 (1319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
glycine metabolic process (GO:0006544)	7	6	.45	+	13.29	1.79E-02
retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)	16	9	1.03	+	8.72	3.20E-03
Golgi organization (GO:0007030)	16	9	1.03	+	8.72	3.20E-03
molting cycle process (GO:0022404)	30	15	1.93	+	7.75	5.31E-06
intra-Golgi vesicle-mediated transport (GO:0006891)	27	11	1.74	+	6.32	5.01E-03
serine family amino acid metabolic process (GO:0009069)	26	10	1.68	+	5.96	2.35E-02
alpha-amino acid biosynthetic process (GO:1901607)	49	18	3.16	+	5.70	1.63E-05
cellular amino acid biosynthetic process (GO:0008652)	54	19	3.48	+	5.46	1.25E-05
ER to Golgi vesicle-mediated transport (GO:0006888)	43	14	2.77	+	5.05	3.01E-03
nucleoside diphosphate metabolic process (GO:0009132)	38	12	2.45	+	4.90	2.27E-02
sulfur compound biosynthetic process (GO:0044272)	57	18	3.68	+	4.90	1.54E-04
Golgi vesicle transport (GO:0048193)	86	27	5.55	+	4.87	1.04E-07
fatty acid catabolic process (GO:0009062)	53	16	3.42	+	4.68	1.45E-03
fatty acid beta-oxidation (GO:0006635)	40	12	2.58	+	4.65	3.73E-02
organic acid catabolic process (GO:0016054)	91	26	5.87	+	4.43	1.67E-06
carboxylic acid catabolic process (GO:0046395)	91	26	5.87	+	4.43	1.67E-06
monocarboxylic acid catabolic process (GO:0072329)	56	16	3.61	+	4.43	2.92E-03
small molecule catabolic process (GO:0044282)	110	31	7.09	+	4.37	5.63E-08
alpha-amino acid metabolic process (GO:1901605)	103	28	6.64	+	4.22	1.12E-06
negative regulation of endopeptidase activity (GO:0010951)	61	15	3.93	+	3.81	3.56E-02
