"GO","In.ref","In.input","Expect","Over.under","FE","Bonferroni.pvalue","Cluster"
"extracellular structure organization (GO:0043062)",14,7,0.74,"+",9.42,0.0289,"Cluster 1"
"muscle system process (GO:0003012)",39,16,2.07,"+",7.73,1.63e-06,"Cluster 1"
"ATP hydrolysis coupled proton transport (GO:0015991)",22,9,1.17,"+",7.7,0.00863,"Cluster 1"
"energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)",22,9,1.17,"+",7.7,0.00863,"Cluster 1"
"regulation of neurotransmitter secretion (GO:0046928)",20,8,1.06,"+",7.53,0.0347,"Cluster 1"
"regulation of neurotransmitter transport (GO:0051588)",20,8,1.06,"+",7.53,0.0347,"Cluster 1"
"muscle contraction (GO:0006936)",38,15,2.02,"+",7.43,9.12e-06,"Cluster 1"
"regulation of secretion (GO:0051046)",49,15,2.6,"+",5.77,0.000242,"Cluster 1"
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",36,11,1.91,"+",5.75,0.0119,"Cluster 1"
"maturation of SSU-rRNA (GO:0030490)",46,14,2.44,"+",5.73,0.000681,"Cluster 1"
"regulation of pH (GO:0006885)",41,12,2.18,"+",5.51,0.00696,"Cluster 1"
"monovalent inorganic cation homeostasis (GO:0055067)",43,12,2.28,"+",5.26,0.0112,"Cluster 1"
"regulation of secretion by cell (GO:1903530)",40,11,2.12,"+",5.18,0.0314,"Cluster 1"
"ribosomal small subunit biogenesis (GO:0042274)",62,16,3.29,"+",4.86,0.000879,"Cluster 1"
"ATP hydrolysis coupled transmembrane transport (GO:0090662)",48,12,2.55,"+",4.71,0.033,"Cluster 1"
"modulation of synaptic transmission (GO:0050804)",48,12,2.55,"+",4.71,0.033,"Cluster 1"
"ATP hydrolysis coupled cation transmembrane transport (GO:0099132)",48,12,2.55,"+",4.71,0.033,"Cluster 1"
"ATP hydrolysis coupled ion transmembrane transport (GO:0099131)",48,12,2.55,"+",4.71,0.033,"Cluster 1"
"sodium ion transport (GO:0006814)",74,18,3.93,"+",4.58,0.000398,"Cluster 1"
"hydrogen ion transmembrane transport (GO:1902600)",70,17,3.72,"+",4.57,0.000884,"Cluster 1"
"inorganic ion homeostasis (GO:0098771)",102,24,5.42,"+",4.43,7.16e-06,"Cluster 1"
"ion homeostasis (GO:0050801)",104,24,5.52,"+",4.35,1.03e-05,"Cluster 1"
"cation homeostasis (GO:0055080)",100,23,5.31,"+",4.33,2.28e-05,"Cluster 1"
"cellular ion homeostasis (GO:0006873)",85,19,4.51,"+",4.21,0.00065,"Cluster 1"
"cellular cation homeostasis (GO:0030003)",82,18,4.35,"+",4.13,0.00171,"Cluster 1"
"proton transport (GO:0015992)",87,19,4.62,"+",4.11,0.000916,"Cluster 1"
"hydrogen transport (GO:0006818)",88,19,4.67,"+",4.07,0.00108,"Cluster 1"
"chemical homeostasis (GO:0048878)",154,33,8.18,"+",4.04,9.46e-08,"Cluster 1"
"rRNA processing (GO:0006364)",132,28,7.01,"+",3.99,3.44e-06,"Cluster 1"
"cellular chemical homeostasis (GO:0055082)",99,21,5.26,"+",3.99,0.000368,"Cluster 1"
"regulation of ion transport (GO:0043269)",67,14,3.56,"+",3.94,0.0477,"Cluster 1"
"ncRNA processing (GO:0034470)",199,41,10.57,"+",3.88,1.45e-09,"Cluster 1"
"ncRNA metabolic process (GO:0034660)",205,41,10.89,"+",3.77,3.63e-09,"Cluster 1"
"rRNA metabolic process (GO:0016072)",140,28,7.43,"+",3.77,1.2e-05,"Cluster 1"
"ribosome biogenesis (GO:0042254)",193,38,10.25,"+",3.71,3.69e-08,"Cluster 1"
"organic anion transport (GO:0015711)",116,22,6.16,"+",3.57,0.00121,"Cluster 1"
"striated muscle myosin thick filament assembly (GO:0071688)",144,26,7.65,"+",3.4,0.000297,"Cluster 1"
"myosin filament assembly (GO:0031034)",145,26,7.7,"+",3.38,0.000339,"Cluster 1"
"myosin filament organization (GO:0031033)",145,26,7.7,"+",3.38,0.000339,"Cluster 1"
"muscle structure development (GO:0061061)",207,37,10.99,"+",3.37,9.38e-07,"Cluster 1"
"muscle cell development (GO:0055001)",169,30,8.97,"+",3.34,4.8e-05,"Cluster 1"
"muscle cell differentiation (GO:0042692)",183,32,9.72,"+",3.29,2.32e-05,"Cluster 1"
"myofibril assembly (GO:0030239)",161,28,8.55,"+",3.28,0.000211,"Cluster 1"
"striated muscle cell development (GO:0055002)",167,29,8.87,"+",3.27,0.000129,"Cluster 1"
"RNA processing (GO:0006396)",400,69,21.24,"+",3.25,1.44e-13,"Cluster 1"
"cellular component assembly involved in morphogenesis (GO:0010927)",162,28,8.6,"+",3.25,0.000239,"Cluster 1"
"striated muscle cell differentiation (GO:0051146)",169,29,8.97,"+",3.23,0.000166,"Cluster 1"
"ribonucleoprotein complex biogenesis (GO:0022613)",257,44,13.65,"+",3.22,8.2e-08,"Cluster 1"
"actomyosin structure organization (GO:0031032)",166,28,8.81,"+",3.18,0.000388,"Cluster 1"
"monovalent inorganic cation transport (GO:0015672)",238,40,12.64,"+",3.17,1.07e-06,"Cluster 1"
"inorganic cation transmembrane transport (GO:0098662)",291,48,15.45,"+",3.11,3.71e-08,"Cluster 1"
"receptor-mediated endocytosis (GO:0006898)",724,119,38.44,"+",3.1,2e-23,"Cluster 1"
"cation transport (GO:0006812)",393,63,20.87,"+",3.02,8.48e-11,"Cluster 1"
"cation transmembrane transport (GO:0098655)",332,52,17.63,"+",2.95,3.38e-08,"Cluster 1"
"homeostatic process (GO:0042592)",243,38,12.9,"+",2.94,1.92e-05,"Cluster 1"
"cellular homeostasis (GO:0019725)",155,24,8.23,"+",2.92,0.012,"Cluster 1"
"metal ion transport (GO:0030001)",259,40,13.75,"+",2.91,1.1e-05,"Cluster 1"
"endocytosis (GO:0006897)",850,129,45.13,"+",2.86,1.49e-22,"Cluster 1"
"cellular protein complex assembly (GO:0043623)",253,38,13.43,"+",2.83,5.4e-05,"Cluster 1"
"regulation of transport (GO:0051049)",214,32,11.36,"+",2.82,0.000741,"Cluster 1"
"posttranscriptional gene silencing (GO:0016441)",161,24,8.55,"+",2.81,0.0221,"Cluster 1"
"posttranscriptional gene silencing by RNA (GO:0035194)",161,24,8.55,"+",2.81,0.0221,"Cluster 1"
"anatomical structure formation involved in morphogenesis (GO:0048646)",222,33,11.79,"+",2.8,0.000556,"Cluster 1"
"ion transport (GO:0006811)",735,109,39.03,"+",2.79,7.28e-18,"Cluster 1"
"actin filament-based process (GO:0030029)",230,34,12.21,"+",2.78,0.000417,"Cluster 1"
"actin cytoskeleton organization (GO:0030036)",225,33,11.95,"+",2.76,0.000746,"Cluster 1"
"inorganic ion transmembrane transport (GO:0098660)",367,53,19.49,"+",2.72,3.81e-07,"Cluster 1"
"positive regulation of multicellular organism growth (GO:0040018)",346,50,18.37,"+",2.72,1.23e-06,"Cluster 1"
"transmembrane transport (GO:0055085)",855,123,45.4,"+",2.71,1.93e-19,"Cluster 1"
"positive regulation of developmental growth (GO:0048639)",356,51,18.9,"+",2.7,1.1e-06,"Cluster 1"
"supramolecular fiber organization (GO:0097435)",238,34,12.64,"+",2.69,0.000894,"Cluster 1"
"ion transmembrane transport (GO:0034220)",542,77,28.78,"+",2.68,5.76e-11,"Cluster 1"
"vesicle-mediated transport (GO:0016192)",1022,145,54.27,"+",2.67,6.49e-23,"Cluster 1"
"translation (GO:0006412)",269,38,14.28,"+",2.66,0.00025,"Cluster 1"
"regulation of gene expression, epigenetic (GO:0040029)",201,28,10.67,"+",2.62,0.0145,"Cluster 1"
"positive regulation of growth (GO:0045927)",375,52,19.91,"+",2.61,2.22e-06,"Cluster 1"
"peptide biosynthetic process (GO:0043043)",274,38,14.55,"+",2.61,0.000392,"Cluster 1"
"regulation of multicellular organism growth (GO:0040014)",374,51,19.86,"+",2.57,5.54e-06,"Cluster 1"
"cellular component morphogenesis (GO:0032989)",338,46,17.95,"+",2.56,3.54e-05,"Cluster 1"
"positive regulation of multicellular organismal process (GO:0051240)",503,68,26.71,"+",2.55,1.71e-08,"Cluster 1"
"mRNA metabolic process (GO:0016071)",229,31,12.16,"+",2.55,0.00837,"Cluster 1"
"cellular lipid metabolic process (GO:0044255)",284,38,15.08,"+",2.52,0.000929,"Cluster 1"
"amide biosynthetic process (GO:0043604)",301,40,15.98,"+",2.5,0.000551,"Cluster 1"
"positive regulation of developmental process (GO:0051094)",481,63,25.54,"+",2.47,3.55e-07,"Cluster 1"
"regulation of developmental growth (GO:0048638)",411,54,21.82,"+",2.47,6.61e-06,"Cluster 1"
"protein complex assembly (GO:0006461)",316,41,16.78,"+",2.44,0.000719,"Cluster 1"
"protein complex biogenesis (GO:0070271)",317,41,16.83,"+",2.44,0.000779,"Cluster 1"
"regulation of growth (GO:0040008)",433,55,22.99,"+",2.39,1.47e-05,"Cluster 1"
"protein complex subunit organization (GO:0071822)",341,43,18.11,"+",2.37,0.000788,"Cluster 1"
"localization of cell (GO:0051674)",303,38,16.09,"+",2.36,0.00422,"Cluster 1"
"cell motility (GO:0048870)",303,38,16.09,"+",2.36,0.00422,"Cluster 1"
"cellular macromolecular complex assembly (GO:0034622)",417,52,22.14,"+",2.35,6.79e-05,"Cluster 1"
"posttranscriptional regulation of gene expression (GO:0010608)",264,33,14.02,"+",2.35,0.0209,"Cluster 1"
