GO,In.ref,In.input,Expect,Over.under,FE,Bonferroni.pvalue,Cluster
extracellular structure organization ,14,7,0.74,+,9.42,0.0289,Cluster 1
muscle system process ,39,16,2.07,+,7.73,1.63E-06,Cluster 1
ATP hydrolysis coupled proton transport ,22,9,1.17,+,7.7,0.00863,Cluster 1
"energy coupled proton transmembrane transport, against electrochemical gradient ",22,9,1.17,+,7.7,0.00863,Cluster 1
regulation of neurotransmitter secretion ,20,8,1.06,+,7.53,0.0347,Cluster 1
neuropeptide signaling pathway ,,,,,,,Cluster 1
RNA secondary structure unwinding ,,,,,,,Cluster 1
ribosomal large subunit biogenesis ,,,,,,,Cluster 1
positive regulation of meiotic cell cycle ,,,,,,,Cluster 1
negative regulation of cellular amide metabolic process ,,,,,,,Cluster 1
fatty acid biosynthetic process ,,,,,,,Cluster 1
monocarboxylic acid biosynthetic process ,,,,,,,Cluster 1
small molecule catabolic process ,,,,,,,Cluster 1
fatty acid metabolic process ,,,,,,,Cluster 1
organic acid biosynthetic process ,,,,,,,Cluster 1
negative regulation of endopeptidase activity ,,,,,,,Cluster 1
flavonoid glucuronidation ,,,,,,,Cluster 1
cellular glucuronidation ,,,,,,,Cluster 1
uronic acid metabolic process ,,,,,,,Cluster 1
flavonoid biosynthetic process ,,,,,,,Cluster 1
glycine metabolic process ,,,,,,,Cluster 1
"retrograde vesicle-mediated transport, Golgi to ER ",,,,,,,Cluster 1
Golgi organization ,,,,,,,Cluster 1
molting cycle process ,,,,,,,Cluster 1
intra-Golgi vesicle-mediated transport ,,,,,,,Cluster 1
"mitochondrial electron transport, ubiquinol to cytochrome c ",,,,,,,Cluster 1
"mitochondrial electron transport, cytochrome c to oxygen ",,,,,,,Cluster 1
cytoplasmic translation ,,,,,,,Cluster 1
mitochondrial ATP synthesis coupled electron transport ,,,,,,,Cluster 1
ATP synthesis coupled electron transport ,,,,,,,Cluster 1
extracellular structure organization ,,,,,,,Cluster 2
muscle system process ,,,,,,,Cluster 2
ATP hydrolysis coupled proton transport ,,,,,,,Cluster 2
"energy coupled proton transmembrane transport, against electrochemical gradient ",,,,,,,Cluster 2
regulation of neurotransmitter secretion ,,,,,,,Cluster 2
neuropeptide signaling pathway ,104,54,9.49,+,5.69,3.10E-20,Cluster 2
RNA secondary structure unwinding ,36,14,3.28,+,4.26,0.0204,Cluster 2
ribosomal large subunit biogenesis ,54,19,4.93,+,3.86,0.00243,Cluster 2
positive regulation of meiotic cell cycle ,55,18,5.02,+,3.59,0.0123,Cluster 2
negative regulation of cellular amide metabolic process ,57,18,5.2,+,3.46,0.0197,Cluster 2
fatty acid biosynthetic process ,,,,,,,Cluster 2
monocarboxylic acid biosynthetic process ,,,,,,,Cluster 2
small molecule catabolic process ,,,,,,,Cluster 2
fatty acid metabolic process ,,,,,,,Cluster 2
organic acid biosynthetic process ,,,,,,,Cluster 2
negative regulation of endopeptidase activity ,,,,,,,Cluster 2
flavonoid glucuronidation ,,,,,,,Cluster 2
cellular glucuronidation ,,,,,,,Cluster 2
uronic acid metabolic process ,,,,,,,Cluster 2
flavonoid biosynthetic process ,,,,,,,Cluster 2
glycine metabolic process ,,,,,,,Cluster 2
"retrograde vesicle-mediated transport, Golgi to ER ",,,,,,,Cluster 2
Golgi organization ,,,,,,,Cluster 2
molting cycle process ,,,,,,,Cluster 2
intra-Golgi vesicle-mediated transport ,,,,,,,Cluster 2
"mitochondrial electron transport, ubiquinol to cytochrome c ",,,,,,,Cluster 2
"mitochondrial electron transport, cytochrome c to oxygen ",,,,,,,Cluster 2
cytoplasmic translation ,,,,,,,Cluster 2
mitochondrial ATP synthesis coupled electron transport ,,,,,,,Cluster 2
ATP synthesis coupled electron transport ,,,,,,,Cluster 2
extracellular structure organization ,,,,,,,Cluster 3
muscle system process ,,,,,,,Cluster 3
ATP hydrolysis coupled proton transport ,,,,,,,Cluster 3
"energy coupled proton transmembrane transport, against electrochemical gradient ",,,,,,,Cluster 3
regulation of neurotransmitter secretion ,,,,,,,Cluster 3
neuropeptide signaling pathway ,,,,,,,Cluster 3
RNA secondary structure unwinding ,,,,,,,Cluster 3
ribosomal large subunit biogenesis ,,,,,,,Cluster 3
positive regulation of meiotic cell cycle ,,,,,,,Cluster 3
negative regulation of cellular amide metabolic process ,,,,,,,Cluster 3
fatty acid biosynthetic process ,40,13,2.04,+,6.37,0.000552,Cluster 3
monocarboxylic acid biosynthetic process ,47,13,2.4,+,5.42,0.00325,Cluster 3
small molecule catabolic process ,110,22,5.61,+,3.92,0.000256,Cluster 3
fatty acid metabolic process ,105,21,5.35,+,3.92,0.000493,Cluster 3
organic acid biosynthetic process ,102,18,5.2,+,3.46,0.0191,Cluster 3
negative regulation of endopeptidase activity ,,,,,,,Cluster 3
flavonoid glucuronidation ,,,,,,,Cluster 3
cellular glucuronidation ,,,,,,,Cluster 3
uronic acid metabolic process ,,,,,,,Cluster 3
flavonoid biosynthetic process ,,,,,,,Cluster 3
glycine metabolic process ,,,,,,,Cluster 3
"retrograde vesicle-mediated transport, Golgi to ER ",,,,,,,Cluster 3
Golgi organization ,,,,,,,Cluster 3
molting cycle process ,,,,,,,Cluster 3
intra-Golgi vesicle-mediated transport ,,,,,,,Cluster 3
"mitochondrial electron transport, ubiquinol to cytochrome c ",,,,,,,Cluster 3
