"Cluster","Description","qvalue","GeneRatio","BgRatio","Count","FE"
"Cluster 1","Peroxisome",0.00460376998836243,"16/249","74/3384",16,2.93845652881797
"Cluster 1","ABC transporters",0.0100253840883867,"8/249","25/3384",8,4.3489156626506
"Cluster 1","Phagosome",0.0122785185891987,"13/249","63/3384",13,2.8043602983362
"Cluster 1","Glycerophospholipid metabolism",0.0378510670395154,"11/249","56/3384",11,2.66953528399312
"Cluster 2","FoxO signaling pathway",7.71558101682544e-07,"19/244","59/3384",19,4.46624062239511
"Cluster 2","Basal transcription factors",2.00676290078844e-05,"13/244","36/3384",13,5.00819672131148
"Cluster 2","Longevity regulating pathway - multiple species",3.90387114732914e-05,"14/244","45/3384",14,4.31475409836066
"Cluster 2","Autophagy - animal",8.77956133720528e-05,"19/244","84/3384",19,3.13700234192037
"Cluster 2","Autophagy - other",0.000340557993841353,"9/244","24/3384",9,5.20081967213115
"Cluster 2","Ubiquitin mediated proteolysis",0.00461324670572692,"16/244","87/3384",16,2.55059355568118
"Cluster 2","Nicotinate and nicotinamide metabolism",0.00643559623355508,"5/244","11/3384",5,6.30402384500745
"Cluster 2","Longevity regulating pathway - worm",0.0128155207962246,"13/244","71/3384",13,2.53936735165089
"Cluster 2","Ribosome biogenesis in eukaryotes",0.0134659201504601,"14/244","81/3384",14,2.39708561020036
"Cluster 3","Proteasome",1.62943205127682e-12,"19/184","41/3384",19,8.52279957582184
"Cluster 3","Lysosome",4.57360645134127e-06,"20/184","99/3384",20,3.71541501976285
"Cluster 3","Metabolism of xenobiotics by cytochrome P450",8.46088875064849e-06,"12/184","39/3384",12,5.65886287625418
"Cluster 3","Glutathione metabolism",7.32930720026717e-05,"12/184","48/3384",12,4.59782608695652
"Cluster 3","Drug metabolism - cytochrome P450",0.000114854610373456,"11/184","43/3384",11,4.70475227502528
"Cluster 3","Fatty acid metabolism",0.000219730278207273,"12/184","55/3384",12,4.01264822134387
"Cluster 3","Pentose phosphate pathway",0.000358319467925069,"7/184","20/3384",7,6.43695652173913
"Cluster 3","Glycolysis / Gluconeogenesis",0.000358319467925069,"10/184","42/3384",10,4.37888198757764
"Cluster 3","Amino sugar and nucleotide sugar metabolism",0.000395457478663299,"9/184","35/3384",9,4.72919254658385
"Cluster 3","Drug metabolism - other enzymes",0.000818947471513054,"8/184","31/3384",8,4.74614305750351
"Cluster 3","Starch and sucrose metabolism",0.000818947471513054,"6/184","17/3384",6,6.49104859335038
"Cluster 3","Fatty acid degradation",0.00135087786398947,"10/184","51/3384",10,3.60613810741688
"Cluster 3","Fructose and mannose metabolism",0.00189178668123998,"6/184","20/3384",6,5.51739130434783
"Cluster 3","Ascorbate and aldarate metabolism",0.00219284811699362,"6/184","21/3384",6,5.25465838509317
"Cluster 3","Fatty acid elongation",0.00219284811699362,"6/184","21/3384",6,5.25465838509317
"Cluster 3","Pentose and glucuronate interconversions",0.00270057808375739,"6/184","22/3384",6,5.01581027667984
"Cluster 3","Other glycan degradation",0.00357528175128305,"5/184","16/3384",5,5.74728260869565
"Cluster 3","Arginine and proline metabolism",0.00611323572311753,"6/184","26/3384",6,4.24414715719064
"Cluster 3","Sphingolipid metabolism",0.00611323572311753,"7/184","35/3384",7,3.67826086956522
"Cluster 3","Biosynthesis of unsaturated fatty acids",0.00707871878125105,"5/184","19/3384",5,4.83981693363844
"Cluster 3","One carbon pool by folate",0.00713835965767263,"4/184","12/3384",4,6.1304347826087
"Cluster 3","Valine, leucine and isoleucine degradation",0.0112942039749937,"8/184","50/3384",8,2.94260869565217
"Cluster 3","Tyrosine metabolism",0.0142976629988697,"5/184","23/3384",5,3.99810964083176
"Cluster 3","beta-Alanine metabolism",0.0142976629988697,"5/184","23/3384",5,3.99810964083176
"Cluster 3","Folate biosynthesis",0.0145399392316257,"4/184","15/3384",4,4.90434782608696
"Cluster 3","Tryptophan metabolism",0.0200518791947046,"6/184","35/3384",6,3.1527950310559
"Cluster 4","Neuroactive ligand-receptor interaction",4.13122617366662e-06,"11/143","35/3384",11,7.43736263736264
"Cluster 4","Calcium signaling pathway",0.00103331984803974,"10/143","52/3384",10,4.55083378160301
"Cluster 4","Drug metabolism - cytochrome P450",0.00520455499117168,"8/143","43/3384",8,4.40266710034152
