Cluster,Description,qvalue,GeneRatio,BgRatio,Count,FE
Cluster 1,Peroxisome,0.004750159,16/250,74/3389,16,2.931027027
Cluster 1,ABC transporters,0.010204162,8/250,25/3389,8,4.33792
Cluster 1,Phagosome,0.012586861,13/250,63/3389,13,2.797269841
Cluster 1,Glycerophospholipid metabolism,0.038634862,11/250,56/3389,11,2.662785714
Cluster 1,FoxO signaling pathway,,,,,
Cluster 1,Basal transcription factors,,,,,
Cluster 1,Longevity regulating pathway - multiple species,,,,,
Cluster 1,Autophagy - animal,,,,,
Cluster 1,Autophagy - other,,,,,
Cluster 1,Proteasome,,,,,
Cluster 1,Lysosome,,,,,
Cluster 1,Metabolism of xenobiotics by cytochrome P450,,,,,
Cluster 1,Glutathione metabolism,,,,,
Cluster 1,Drug metabolism - cytochrome P450,,,,,
Cluster 1,Neuroactive ligand-receptor interaction,,,,,
Cluster 1,Calcium signaling pathway,,,,,
Cluster 1,Longevity regulating pathway - worm,,,,,
Cluster 1,Sphingolipid metabolism,,,,,
Cluster 1,Carbon metabolism,,,,,
Cluster 1,"Valine, leucine and isoleucine degradation",,,,,
Cluster 1,Protein processing in endoplasmic reticulum,,,,,
Cluster 1,Glyoxylate and dicarboxylate metabolism,,,,,
Cluster 1,Fatty acid degradation,,,,,
Cluster 1,Ribosome,,,,,
Cluster 1,Oxidative phosphorylation,,,,,
Cluster 1,Spliceosome,,,,,
Cluster 1,RNA polymerase,,,,,
Cluster 2,Peroxisome,,,,,
Cluster 2,ABC transporters,,,,,
Cluster 2,Phagosome,,,,,
Cluster 2,Glycerophospholipid metabolism,,,,,
Cluster 2,FoxO signaling pathway,9.89E-07,19/248,59/3389,19,4.400697102
Cluster 2,Basal transcription factors,2.39E-05,13/248,36/3389,13,4.934699821
Cluster 2,Longevity regulating pathway - multiple species,4.67E-05,14/248,45/3389,14,4.251433692
Cluster 2,Autophagy - animal,0.000109553,19/248,84/3389,19,3.090965822
Cluster 2,Autophagy - other,0.000383997,9/248,24/3389,9,5.124495968
Cluster 2,Proteasome,,,,,
Cluster 2,Lysosome,,,,,
Cluster 2,Metabolism of xenobiotics by cytochrome P450,,,,,
Cluster 2,Glutathione metabolism,,,,,
Cluster 2,Drug metabolism - cytochrome P450,,,,,
Cluster 2,Neuroactive ligand-receptor interaction,,,,,
Cluster 2,Calcium signaling pathway,,,,,
Cluster 2,Longevity regulating pathway - worm,,,,,
Cluster 2,Sphingolipid metabolism,,,,,
Cluster 2,Carbon metabolism,,,,,
Cluster 2,"Valine, leucine and isoleucine degradation",,,,,
Cluster 2,Protein processing in endoplasmic reticulum,,,,,
Cluster 2,Glyoxylate and dicarboxylate metabolism,,,,,
Cluster 2,Fatty acid degradation,,,,,
Cluster 2,Ribosome,,,,,
Cluster 2,Oxidative phosphorylation,,,,,
Cluster 2,Spliceosome,,,,,
Cluster 2,RNA polymerase,,,,,
Cluster 3,Peroxisome,,,,,
Cluster 3,ABC transporters,,,,,
Cluster 3,Phagosome,,,,,
Cluster 3,Glycerophospholipid metabolism,,,,,
Cluster 3,FoxO signaling pathway,,,,,
Cluster 3,Basal transcription factors,,,,,
Cluster 3,Longevity regulating pathway - multiple species,,,,,
Cluster 3,Autophagy - animal,,,,,
Cluster 3,Autophagy - other,,,,,
Cluster 3,Proteasome,1.43E-12,19/183,41/3389,19,8.582033853
Cluster 3,Lysosome,4.07E-06,20/183,99/3389,20,3.741237512
Cluster 3,Metabolism of xenobiotics by cytochrome P450,7.85E-06,12/183,39/3389,12,5.698192518
Cluster 3,Glutathione metabolism,6.82E-05,12/183,48/3389,12,4.629781421
Cluster 3,Drug metabolism - cytochrome P450,0.00010746,11/183,43/3389,11,4.737450756
Cluster 3,Neuroactive ligand-receptor interaction,,,,,
Cluster 3,Calcium signaling pathway,,,,,
Cluster 3,Longevity regulating pathway - worm,,,,,
Cluster 3,Sphingolipid metabolism,,,,,
Cluster 3,Carbon metabolism,,,,,
Cluster 3,"Valine, leucine and isoleucine degradation",,,,,
Cluster 3,Protein processing in endoplasmic reticulum,,,,,
Cluster 3,Glyoxylate and dicarboxylate metabolism,,,,,
Cluster 3,Fatty acid degradation,,,,,
Cluster 3,Ribosome,,,,,
Cluster 3,Oxidative phosphorylation,,,,,
Cluster 3,Spliceosome,,,,,
Cluster 3,RNA polymerase,,,,,
Cluster 4,Peroxisome,,,,,
Cluster 4,ABC transporters,,,,,
Cluster 4,Phagosome,,,,,
Cluster 4,Glycerophospholipid metabolism,,,,,
Cluster 4,FoxO signaling pathway,,,,,
Cluster 4,Basal transcription factors,,,,,
Cluster 4,Longevity regulating pathway - multiple species,,,,,
Cluster 4,Autophagy - animal,,,,,
Cluster 4,Autophagy - other,,,,,
Cluster 4,Proteasome,,,,,
Cluster 4,Lysosome,,,,,
Cluster 4,Metabolism of xenobiotics by cytochrome P450,,,,,
Cluster 4,Glutathione metabolism,,,,,
Cluster 4,Drug metabolism - cytochrome P450,0.005272951,8/143,43/3389,8,4.409172223
Cluster 4,Neuroactive ligand-receptor interaction,4.16E-06,11/143,35/3389,11,7.448351648
Cluster 4,Calcium signaling pathway,0.001044234,10/143,52/3389,10,4.557557827
Cluster 4,Longevity regulating pathway - worm,0.027733771,9/143,71/3389,9,3.004136708
Cluster 4,Sphingolipid metabolism,0.027733771,6/143,35/3389,6,4.062737263
Cluster 4,Carbon metabolism,,,,,
Cluster 4,"Valine, leucine and isoleucine degradation",,,,,
Cluster 4,Protein processing in endoplasmic reticulum,,,,,
Cluster 4,Glyoxylate and dicarboxylate metabolism,,,,,
Cluster 4,Fatty acid degradation,,,,,
Cluster 4,Ribosome,,,,,
Cluster 4,Oxidative phosphorylation,,,,,
Cluster 4,Spliceosome,,,,,
Cluster 4,RNA polymerase,,,,,
Cluster 5,Peroxisome,,,,,
Cluster 5,ABC transporters,,,,,
Cluster 5,Phagosome,,,,,
Cluster 5,Glycerophospholipid metabolism,,,,,
Cluster 5,FoxO signaling pathway,,,,,
Cluster 5,Basal transcription factors,,,,,
Cluster 5,Longevity regulating pathway - multiple species,,,,,
Cluster 5,Autophagy - animal,,,,,
Cluster 5,Autophagy - other,,,,,
Cluster 5,Proteasome,,,,,
Cluster 5,Lysosome,,,,,
Cluster 5,Metabolism of xenobiotics by cytochrome P450,,,,,
Cluster 5,Glutathione metabolism,,,,,
Cluster 5,Drug metabolism - cytochrome P450,,,,,
Cluster 5,Neuroactive ligand-receptor interaction,,,,,
Cluster 5,Calcium signaling pathway,,,,,
Cluster 5,Longevity regulating pathway - worm,,,,,
Cluster 5,Sphingolipid metabolism,,,,,
Cluster 5,Carbon metabolism,3.49E-11,34/283,105/3389,34,3.877704863
Cluster 5,"Valine, leucine and isoleucine degradation",1.34E-07,19/283,50/3389,19,4.550600707
Cluster 5,Protein processing in endoplasmic reticulum,4.31E-07,32/283,136/3389,32,2.817709416
Cluster 5,Glyoxylate and dicarboxylate metabolism,4.31E-07,15/283,35/3389,15,5.132256436
Cluster 5,Fatty acid degradation,5.36E-07,18/283,51/3389,18,4.226564124
Cluster 5,Ribosome,,,,,
Cluster 5,Oxidative phosphorylation,,,,,
Cluster 5,Spliceosome,,,,,
Cluster 5,RNA polymerase,,,,,
Cluster 6,Peroxisome,,,,,
Cluster 6,ABC transporters,,,,,
Cluster 6,Phagosome,,,,,
Cluster 6,Glycerophospholipid metabolism,,,,,
Cluster 6,FoxO signaling pathway,,,,,
Cluster 6,Basal transcription factors,,,,,
Cluster 6,Longevity regulating pathway - multiple species,,,,,
Cluster 6,Autophagy - animal,,,,,
Cluster 6,Autophagy - other,,,,,
Cluster 6,Proteasome,,,,,
Cluster 6,Lysosome,,,,,
Cluster 6,Metabolism of xenobiotics by cytochrome P450,,,,,
Cluster 6,Glutathione metabolism,,,,,
Cluster 6,Drug metabolism - cytochrome P450,,,,,
Cluster 6,Neuroactive ligand-receptor interaction,,,,,
Cluster 6,Calcium signaling pathway,,,,,
Cluster 6,Longevity regulating pathway - worm,,,,,
Cluster 6,Sphingolipid metabolism,,,,,
Cluster 6,Carbon metabolism,,,,,
Cluster 6,"Valine, leucine and isoleucine degradation",,,,,
Cluster 6,Protein processing in endoplasmic reticulum,,,,,
Cluster 6,Glyoxylate and dicarboxylate metabolism,,,,,
Cluster 6,Fatty acid degradation,,,,,
Cluster 6,Ribosome,4.42E-54,88/316,149/3389,88,6.334041288
Cluster 6,Oxidative phosphorylation,2.19E-21,49/316,111/3389,49,4.734319763
Cluster 6,Spliceosome,3.63E-09,34/316,112/3389,34,3.255707505
Cluster 6,RNA polymerase,0.02959338,8/316,25/3389,8,3.431898734
