LibraryName,LibraryLayout,fastq1,fastq2,condition,shortname,LibraryID,Filtered,Phred
DA26_b1t1,PAIRED,12195_R1.fastq,12195_R2.fastq,DA26,DA.26.1,12195,yes,Phred+64
DA34_b1t1,PAIRED,12196_R1.fastq,12196_R2.fastq,DA34,DA.34.1,12196,yes,Phred+64
noDA26_b1t1,PAIRED,12198_R1.fastq,12198_R2.fastq,noDA26,noDA.26.1,12198,yes,Phred+64
noDA34_b1t1,PAIRED,12215_R1.fastq,12215_R2.fastq,noDA34,noDA.34.1,12215,yes,Phred+64
noDA60_b1t1,PAIRED,12216_R1.fastq,12216_R2.fastq,noDA60,noDA.60.1,12216,yes,Phred+64
DA26_b2t1,SINGLE,12637_filtered.fastq,,DA26,DA.26.2,12637,yes,Phred+33
DA34_b2t1,SINGLE,12638_filtered.fastq,,DA34,DA.34.2,12638,yes,Phred+33
noDA24_b2t1,SINGLE,12639_filtered.fastq,,noDA24,noDA.24.2,12639,yes,Phred+33
noDA24_b1t2,SINGLE,12640_filtered.fastq,,noDA24,noDA.24.3,12640,yes,Phred+33
noDA26_b2t1,SINGLE,12641_filtered.fastq,,noDA26,noDA.26.2,12641,yes,Phred+33
noDA34_b2t1,SINGLE,12810_filtered.fastq,,noDA34,noDA.34.2,12810,yes,Phred+33
noDA60_b2t1,SINGLE,12811_filtered.fastq,,noDA60,noDA.60.2,12811,yes,Phred+33
