"","noDA.24","noDA.26","noDA.34","noDA.60","DA.26","DA.34"
"WBGene00000001",548.8434791,448.7237849,494.6241037,974.6457756,475.8304321,466.3391805
"WBGene00000002",349.7039923,1800.106017,380.6342131,231.8808331,1242.958019,1108.057444
"WBGene00000003",1368.466548,288.0026933,188.4300116,104.6874893,547.7800921,372.8420116
"WBGene00000004",869.7317016,600.3606114,1027.812709,384.5247235,714.4816356,398.1652921
"WBGene00000005",353.5049382,653.9536707,8.649304075,5.980618582,1398.96533,1396.352039
"WBGene00000007",1158.476306,368.5590999,324.2596616,120.1808763,633.5313874,595.671826
"WBGene00000009",21.92804665,25.42809203,143.5583193,207.1809521,8.306961351,48.26048971
"WBGene00000010",663.886326,769.9700475,864.0115799,1344.266143,1018.80701,1041.609685
"WBGene00000013",8.285342653,63.17318873,197.6549885,451.6104032,80.64456217,32.59644125
"WBGene00000016",434.1821252,330.3481643,560.0957717,473.8727495,104.9191131,43.35199799
"WBGene00000017",868.560894,568.3011211,742.8835069,761.7575232,249.3821592,164.8379505
"WBGene00000035",628.3380642,315.6153875,348.7232691,178.7478842,290.5258538,247.5652944
"WBGene00000039",2650.83876,14523.92828,1031.327564,154.5929898,18516.10719,11264.08038
"WBGene00000040",10035.60501,7706.23149,671.9602486,1051.740447,8929.296443,6399.39921
"WBGene00000044",53.42222215,41.23021355,482.4423195,84.05216066,46.25042778,53.89986457
"WBGene00000047",425.8929427,390.9061855,239.0840444,32.58870072,335.5203382,275.6044173
"WBGene00000055",356.9918574,312.0032193,256.6902001,101.5574133,331.8862848,378.8753645
"WBGene00000061",127.5257128,23.1870333,55.24821566,64.45497302,8.09057734,4.098732899
"WBGene00000063",5148.77633,10547.47435,22586.96976,1634.309952,9264.672284,9862.806957
"WBGene00000064",7229.158407,12041.43914,9003.46084,13208.33197,11912.03631,19675.41215
"WBGene00000065",13060.28332,12270.41696,33411.0737,3349.658699,12362.1423,13872.51014
"WBGene00000066",43170.81973,60129.64412,81170.93249,11490.5089,63609.32099,67681.76558
"WBGene00000067",35351.80991,28534.86478,17480.94504,3354.384641,26777.89081,54818.31715
"WBGene00000070",1050.324472,985.0977148,432.7595435,313.5693134,1275.459391,916.7562829
"WBGene00000071",470.3005693,145.4871545,434.2174327,153.9411927,178.7699926,141.3708147
"WBGene00000073",427.9485093,651.5997227,2401.8639,1476.909276,542.8085454,466.668551
"WBGene00000074",592.8240853,660.606324,1033.88698,433.161236,566.8162471,489.2835238
"WBGene00000075",444.1185027,406.2636274,325.4628341,136.9840726,359.2325726,449.6073438
"WBGene00000081",8779.517435,5112.714172,6065.450279,5258.170218,5836.192271,6658.16911
"WBGene00000083",2682.826598,2632.342257,1560.125278,452.5040584,3488.266159,1855.575409
"WBGene00000084",436.354525,146.9747237,129.023021,87.88271996,200.4454688,102.862701
"WBGene00000088",705.3659713,898.2522202,456.3793531,351.0832658,762.7667074,672.8097338
"WBGene00000097",331.8977732,722.7507374,507.930818,625.8507627,619.6902104,455.5546869
"WBGene00000101",1523.991287,713.184746,623.75997,578.9262105,1026.327167,1042.914901
"WBGene00000102",2309.188359,2740.717727,5629.065801,4279.858741,3260.359377,3381.554995
"WBGene00000103",1014.035987,590.3287573,1479.087041,1312.473648,1318.678328,709.504908
"WBGene00000105",3498.277647,3253.472333,1779.072174,1278.589295,5207.718989,2694.384827
"WBGene00000107",16360.65234,21636.38112,6736.042884,10020.46719,22962.07864,18214.03842
"WBGene00000109",3966.905792,9594.963493,1201.446682,2524.106328,7508.549576,3832.703781
"WBGene00000110",3806.7406,3962.215674,2129.208132,2852.978693,3110.900747,2285.255086
"WBGene00000111",1044.430936,1145.99527,382.4260653,348.7337425,1213.424558,697.3157209
"WBGene00000113",751.2735164,1446.980249,949.0563244,1156.812784,1306.62045,2460.609163
"WBGene00000114",12818.39929,9641.069347,2606.278108,51308.66697,13006.48568,19068.61867
"WBGene00000115",5486.032014,12028.22935,3743.455938,3294.25645,6267.911649,4899.086144
"WBGene00000116",900.1872618,906.3888724,217.7425187,357.2083701,629.2485344,550.6571052
"WBGene00000117",761.988239,660.7351247,309.711758,476.2427218,954.3033567,1067.8216
"WBGene00000118",3146.833764,3039.348759,1672.107822,2264.690569,3185.084874,3354.770348
"WBGene00000120",628.4705315,1143.050109,369.4643129,619.0550623,1049.662032,905.8929138
"WBGene00000122",4149.920813,4868.479196,2747.963521,2985.662802,4174.232046,5729.797973
