"","x"
"WBGene00000001",2
"WBGene00000002",3
"WBGene00000003",1
"WBGene00000004",4
"WBGene00000005",5
"WBGene00000007",1
"WBGene00000009",2
"WBGene00000010",2
"WBGene00000013",2
"WBGene00000016",4
"WBGene00000017",4
"WBGene00000035",1
"WBGene00000039",5
"WBGene00000040",1
"WBGene00000044",4
"WBGene00000047",1
"WBGene00000055",5
"WBGene00000061",1
"WBGene00000063",4
"WBGene00000064",6
"WBGene00000065",4
"WBGene00000066",5
"WBGene00000067",6
"WBGene00000070",5
"WBGene00000071",4
"WBGene00000073",4
"WBGene00000074",4
"WBGene00000075",1
"WBGene00000081",1
"WBGene00000083",5
"WBGene00000084",1
"WBGene00000088",5
"WBGene00000097",3
"WBGene00000101",1
"WBGene00000102",4
"WBGene00000103",4
"WBGene00000105",5
"WBGene00000107",5
"WBGene00000109",3
"WBGene00000110",3
"WBGene00000111",5
"WBGene00000113",6
"WBGene00000114",2
"WBGene00000115",3
"WBGene00000116",1
"WBGene00000117",5
"WBGene00000118",5
"WBGene00000120",5
"WBGene00000122",6
"WBGene00000133",2
"WBGene00000135",4
"WBGene00000136",5
"WBGene00000138",3
"WBGene00000139",3
"WBGene00000144",2
"WBGene00000150",1
"WBGene00000155",3
"WBGene00000157",5
"WBGene00000160",5
"WBGene00000161",5
"WBGene00000163",5
"WBGene00000164",5
"WBGene00000165",6
"WBGene00000168",2
"WBGene00000169",1
"WBGene00000170",4
"WBGene00000171",4
"WBGene00000172",4
"WBGene00000174",2
"WBGene00000175",5
"WBGene00000176",1
"WBGene00000177",4
"WBGene00000178",5
"WBGene00000179",6
"WBGene00000181",5
"WBGene00000182",5
"WBGene00000183",5
"WBGene00000187",5
"WBGene00000189",3
"WBGene00000196",1
"WBGene00000198",5
"WBGene00000201",6
"WBGene00000202",2
"WBGene00000205",6
"WBGene00000206",2
"WBGene00000207",6
"WBGene00000208",2
"WBGene00000209",6
"WBGene00000210",6
"WBGene00000211",1
"WBGene00000212",3
"WBGene00000213",3
"WBGene00000214",5
"WBGene00000215",1
"WBGene00000216",5
"WBGene00000217",3
"WBGene00000218",5
"WBGene00000219",5
"WBGene00000220",5
"WBGene00000221",5
"WBGene00000222",2
"WBGene00000224",3
"WBGene00000225",1
"WBGene00000226",1
"WBGene00000228",5
"WBGene00000229",6
"WBGene00000230",6
"WBGene00000231",5
"WBGene00000233",4
"WBGene00000235",6
"WBGene00000236",5
"WBGene00000239",5
"WBGene00000240",5
"WBGene00000245",1
"WBGene00000246",1
"WBGene00000247",3
"WBGene00000248",5
"WBGene00000250",2
"WBGene00000252",6
"WBGene00000253",3
"WBGene00000255",6
"WBGene00000256",6
"WBGene00000263",6
