,noDA.24,noDA.26,noDA.34,noDA.60,DA.26,DA.34
exp-2,485.1258751,283.8011575,612.541456,487.2082122,252.4097735,219.5404398
kvs-5,1036.946428,1016.825511,3103.951071,1561.350772,482.2315932,292.923654
egl-36,118.548965,91.71935782,327.0625947,124.5878054,92.50120792,76.65792004
shl-1,476.5004521,323.5826217,676.9628216,260.7928983,218.0121154,253.1975352
kqt-2,379.4714373,130.7526283,432.8880063,259.7657684,246.395496,393.7728593
slo-1,1395.589045,1140.184385,958.5396327,401.3059748,1290.298824,1117.041665
slo-2,1067.337262,651.0509243,888.1650293,443.3713418,774.7490256,529.7694627
kcnl-2,468.2151094,387.2957905,954.6363777,524.8509201,384.1940555,191.1358754
unc-58,608.9112534,457.9280083,354.7119131,171.2485544,592.6474945,365.1316678
C24A3.6,2165.817649,689.1418776,2312.978726,283.0380186,1058.913965,656.8087802
twk-1,212.9823993,138.9157355,837.0113573,298.7874209,57.32625879,129.9057772
twk-5,229.1488279,141.9791052,965.8605146,2491.727639,96.0494829,130.3786309
twk-7,572.6869454,505.4949483,2759.876176,4583.267822,481.7141039,285.8942545
twk-8,1075.939921,620.7030803,465.2185399,317.9369943,708.7649397,819.1679158
twk-12,261.7765131,170.5393884,358.6009563,185.8985454,111.7971648,101.3291931
twk-17,311.4847293,340.9993638,570.6247636,135.3601238,313.3686761,210.4115348
twk-21,96.2166616,32.36302839,36.7468366,28.28229016,3.807371968,4.915625835
twk-22,258.1985392,155.9407319,371.6907699,362.3235704,156.4030036,105.7144919
twk-24,343.3870012,126.3287407,565.6984249,117.6193051,93.36533447,202.5795106
twk-25,332.7441344,278.5214347,348.9015507,114.2944842,265.1277268,199.6773804
twk-28,181.9415727,190.4212902,94.18268929,37.29875824,277.6335247,151.6963224
twk-33,243.2448808,166.1507982,188.7883821,184.3814071,40.92942484,103.5289766
twk-34,483.1119962,269.0313339,828.5801587,478.4195223,317.9561581,155.5944993
twk-39,341.2636936,294.5088374,339.6387579,114.0023668,326.3481931,217.089761
twk-42,490.0979037,541.4189601,124.9036684,212.4171201,725.1268128,559.5489825
twk-49,749.4713652,939.5318453,713.9143552,421.254977,837.3105089,428.0744275
irk-2,143.0536682,85.65614396,285.2231406,183.2474667,80.60290625,41.15934861
mps-1,29.55599218,24.00404852,73.16111579,116.4052953,30.67500739,11.83761322
mps-2,363.4336362,328.1794257,51.26892715,19.40716174,385.9653739,310.6872079
K01A2.4,983.1163839,822.1372898,16.88921403,16.6147434,2090.240868,134.1261904
dpf-1,531.089917,438.3231417,2720.913681,311.6689774,479.9420807,416.9320268
dpf-2,738.8775906,170.5005685,204.2445159,100.9621675,224.460218,144.2012033
dpf-3,2842.752909,2791.102848,1626.684663,1943.438192,2726.137328,2435.705668
dpf-5,2609.769402,4353.21184,2761.644023,3280.388739,4382.603935,2732.718918
dpf-6,727.8721546,1519.001118,339.99753,268.9864194,2696.663218,979.9356701
mrp-1,2760.655064,1598.888816,959.803623,672.1377519,1575.282005,1059.338369
mrp-2,867.2532294,482.3467349,475.8914113,328.8789666,656.0738092,317.5663906
mrp-4,1296.784208,1065.195328,662.9771823,301.532726,1554.521825,505.0121798
mrp-8,250.8879105,120.6960924,182.9660168,70.1858684,118.8926576,76.47876631
mrp-6,181.5334762,129.0638906,66.90414581,57.24304154,163.9743298,261.2875889
