WBGene00000920,daf-28
WBGene00002084,ins-1
WBGene00002085,ins-2
WBGene00002086,ins-3
WBGene00002087,ins-4
WBGene00002088,ins-5
WBGene00002089,ins-6
WBGene00002090,ins-7
WBGene00002091,ins-8
WBGene00002092,ins-9
WBGene00002093,ins-10
WBGene00002094,ins-11
WBGene00002095,ins-12
WBGene00002096,ins-13
WBGene00002097,ins-14
WBGene00002098,ins-15
WBGene00002099,ins-16
WBGene00002100,ins-17
WBGene00002101,ins-18
WBGene00002102,ins-19
WBGene00002103,ins-20
WBGene00002104,ins-21
WBGene00002105,ins-22
WBGene00002106,ins-23
WBGene00002107,ins-24
WBGene00002108,ins-25
WBGene00002109,ins-26
WBGene00002110,ins-27
WBGene00002111,ins-28
WBGene00002112,ins-29
WBGene00002113,ins-30
WBGene00002114,ins-31
WBGene00002115,ins-32
WBGene00002116,ins-33
WBGene00002117,ins-34
WBGene00002118,ins-35
WBGene00002119,ins-36
WBGene00002120,ins-37
WBGene00002121,ins-38
WBGene00017668,ins-39
