strain,dauer,non-dauer,,,
wild type,39,22,,,
wild type,27,27,,,
wild type,12,36,,,
wild type,18,40,,,
wild type,23,29,,,
wild type,25,24,,,
wild type,27,28,,,
wild type,15,37,,,
wild type,40,29,,,
wild type,30,20,,,
wild type,40,15,,,
wild type,37,21,,,
wild type,17,25,,,
wild type,34,21,,,
wild type,15,38,,,
wild type,26,29,,,
wild type,21,36,,,
wild type,18,33,,,
wild type,36,20,,,
wild type,35,13,,,
wild type,15,31,,,
wild type,31,30,,,
sbt-1(ok901),14,38,,,
sbt-1(ok901),6,47,,,
sbt-1(ok901),5,43,,,
sbt-1(ok901),13,34,,,
sbt-1(ok901),8,44,,,
sbt-1(ok901),3,42,,,
sbt-1(ok901); sbt-1(+) line 1,50,14,,,
sbt-1(ok901); sbt-1(+) line 1,15,40,,,
sbt-1(ok901); sbt-1(+) line 1,43,26,,,
sbt-1(ok901); sbt-1(+) line 1,35,28,,,
sbt-1(ok901); sbt-1(+) line 1,8,49,,,
sbt-1(ok901); sbt-1(+) line 1,17,39,,,
sbt-1(ok901); sbt-1(+) line 2,26,25,,,
sbt-1(ok901); sbt-1(+) line 2,26,26,,,
sbt-1(ok901); sbt-1(+) line 2,16,32,,,
sbt-1(ok901); sbt-1(+) line 2,27,30,,,
sbt-1(ok901); sbt-1(+) line 2,16,46,,,
sbt-1(ok901); sbt-1(+) line 2,6,39,,,
sbt-1(ok901); sbt-1(+) line 2,19,35,,,
