id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00000628,5.51620663,0,11.03241326,Inf,Inf,8.06E-06,0.000149454
WBGene00000756,27.47266496,0,54.94532992,Inf,Inf,1.45E-20,1.10E-18
WBGene00001932,9.086014268,0,18.17202854,Inf,Inf,8.23E-05,0.001240682
WBGene00004994,47.07289845,0,94.14579689,Inf,Inf,6.18E-07,1.41E-05
WBGene00008478,110.4349674,0,220.8699348,Inf,Inf,4.22E-12,1.76E-10
WBGene00008479,87.11419744,0,174.2283949,Inf,Inf,5.45E-10,1.86E-08
WBGene00011427,17.97664866,0,35.95329731,Inf,Inf,2.07E-15,1.10E-13
WBGene00013961,10.42667898,0,20.85335795,Inf,Inf,5.43E-07,1.25E-05
WBGene00013972,69.20126592,0,138.4025318,Inf,Inf,3.17E-09,9.91E-08
WBGene00015722,95.44110581,0,190.8822116,Inf,Inf,2.52E-24,2.23E-22
WBGene00015724,15.40227795,0,30.80455589,Inf,Inf,2.38E-08,6.70E-07
WBGene00015726,22.10806809,0,44.21613617,Inf,Inf,2.12E-08,6.04E-07
WBGene00015871,30.93428059,0,61.86856118,Inf,Inf,0.000692633,0.008330613
WBGene00015872,45.96891714,0,91.93783428,Inf,Inf,2.07E-05,0.0003544
WBGene00015874,61.63082066,0,123.2616413,Inf,Inf,1.08E-07,2.77E-06
WBGene00015875,108.2903695,0,216.5807391,Inf,Inf,1.15E-12,5.04E-11
WBGene00016773,38.5052544,0,77.01050881,Inf,Inf,0.000179207,0.002503256
WBGene00016881,5.884024213,0,11.76804843,Inf,Inf,3.78E-06,7.43E-05
WBGene00017230,39.04621443,0,78.09242887,Inf,Inf,6.46E-13,2.88E-11
WBGene00018627,23.57916223,0,47.15832446,Inf,Inf,0.000177971,0.002487469
WBGene00018628,57.32537786,0,114.6507557,Inf,Inf,4.01E-08,1.10E-06
WBGene00019202,17.86828046,0,35.73656093,Inf,Inf,8.23E-09,2.45E-07
WBGene00019880,31.64961637,0,63.29923273,Inf,Inf,1.94E-07,4.78E-06
